time,product_gps_sv_number,wifi_signal,product_gps_longitude,product_gps_latitude,altitude,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi
35000,23,-71,117.4501398003313,39.25692858349234,39.656307220458984,-0.7480475902557373,4.988802909851074,-0.053364723920822144,0.21551641821861267,0.05020354688167572,0.6589893698692322
35200,23,-71,117.45015136060556,39.256927205986216,39.655784606933594,-0.7475916743278503,4.998207092285156,-0.04938597232103348,0.21053142845630646,0.04806406423449516,0.6470593214035034
35208,23,-76,117.45015136060556,39.256927205986216,39.655784606933594,-0.7475916743278503,4.998207092285156,-0.04938597232103348,0.21053142845630646,0.04806406423449516,0.6470593214035034
35400,23,-76,117.4501627945206,39.25692593066364,39.66759490966797,-0.7265574336051941,4.9973602294921875,-0.08162038773298264,0.20700111985206604,0.06099328398704529,0.6392526626586914
35419,23,-76,117.4501627945206,39.25692593066364,39.66759490966797,-0.7265574336051941,4.9973602294921875,-0.08162038773298264,0.20700111985206604,0.06099328398704529,0.6392526626586914
35600,23,-76,117.45017439591034,39.25692471910028,39.669837951660156,-0.72563236951828,4.995077610015869,-0.0669558122754097,0.21751603484153748,0.07403084635734558,0.6278167366981506
35800,23,-76,117.45018597851455,39.256923455681175,39.677032470703125,-0.7406511902809143,4.989220142364502,-0.07912836968898773,0.21402382850646973,0.08123010396957397,0.6167200803756714
35856,23,-76,117.45018597851455,39.256923455681175,39.677032470703125,-0.7406511902809143,4.989220142364502,-0.07912836968898773,0.21402382850646973,0.08123010396957397,0.6167200803756714
35856,24,-76,117.45018597851455,39.256923455681175,39.677032470703125,-0.7406511902809143,4.989220142364502,-0.07912836968898773,0.21402382850646973,0.08123010396957397,0.6167200803756714
36000,24,-76,117.4501975500424,39.25692213986062,39.689125061035156,-0.7606111168861389,4.979712009429932,-0.0691855251789093,0.2127128392457962,0.084497831761837,0.6069839000701904
36200,24,-76,117.45020902631347,39.25692077482549,39.703495025634766,-0.7839198708534241,4.959571361541748,-0.0579112209379673,0.2130419760942459,0.08167426288127899,0.6007283329963684
36208,24,-77,117.45020902631347,39.25692077482549,39.703495025634766,-0.7839198708534241,4.959571361541748,-0.0579112209379673,0.2130419760942459,0.08167426288127899,0.6007283329963684
36400,24,-77,117.45022045260797,39.25691940377314,39.71039962768555,-0.7773035764694214,4.959768295288086,-0.06892646104097366,0.20137958228588104,0.06535737961530685,0.5894229412078857
36420,24,-77,117.45022045260797,39.25691940377314,39.71039962768555,-0.7773035764694214,4.959768295288086,-0.06892646104097366,0.20137958228588104,0.06535737961530685,0.5894229412078857
36600,24,-77,117.45023209626513,39.256918101434934,39.72012710571289,-0.7588210105895996,4.971561908721924,-0.051663849502801895,0.20401012897491455,0.07847023010253906,0.5789883136749268
36800,24,-77,117.45024356252316,39.256916842301365,39.74168395996094,-0.7524842023849487,4.956431865692139,-0.026005908846855164,0.20955348014831543,0.08919916301965714,0.5686936974525452
37000,24,-77,117.45025510356884,39.25691569909563,39.74524688720703,-0.7520285844802856,4.953020095825195,-0.032382357865571976,0.21008217334747314,0.09367450326681137,0.557953417301178
