time,product_gps_sv_number,wifi_signal,product_gps_longitude,product_gps_latitude,altitude,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi
25600,24,-69,117.44909543061327,39.25738203768905,20.96015167236328,4.989366054534912,-0.5408583283424377,-0.08683031797409058,-0.08691921830177307,-0.07753902673721313,0.394148588180542
25800,24,-69,117.44909393614503,39.25739084468277,20.967798233032227,4.979152202606201,-0.5443905591964722,-0.08576011657714844,-0.0710396096110344,-0.10269016772508621,0.41139665246009827
25987,24,-69,117.44909393614503,39.25739084468277,20.967798233032227,4.979152202606201,-0.5443905591964722,-0.08576011657714844,-0.0710396096110344,-0.10269016772508621,0.41139665246009827
26000,24,-69,117.44909262393293,39.25739963438881,20.962766647338867,4.9969282150268555,-0.5097222328186035,-0.09092388302087784,-0.09122084081172943,-0.08662889897823334,0.42499715089797974
26200,24,-69,117.44909142975064,39.25740853468941,20.961408615112305,5.006032943725586,-0.5129408240318298,-0.07668585330247879,-0.11258725076913834,-0.08856888115406036,0.4390556812286377
26400,24,-69,117.44909007277339,39.25741744366295,20.958078384399414,5.018500804901123,-0.5595174431800842,-0.10319887846708298,-0.11752388626337051,-0.07629961520433426,0.45275112986564636
26483,24,-70,117.44909007277339,39.25741744366295,20.958078384399414,5.018500804901123,-0.5595174431800842,-0.10319887846708298,-0.11752388626337051,-0.07629961520433426,0.45275112986564636
26600,24,-70,117.44908864454185,39.25742638377759,20.961584091186523,5.009533405303955,-0.5827859044075012,-0.09505210816860199,-0.09027913957834244,-0.0854211077094078,0.47039100527763367
26800,24,-70,117.44908779006077,39.257435232360685,21.024124145507812,4.925804615020752,-0.24485692381858826,-0.5382510423660278,0.11170408129692078,-0.12231919169425964,0.479815274477005
26986,24,-70,117.44908779006077,39.257435232360685,21.024124145507812,4.925804615020752,-0.24485692381858826,-0.5382510423660278,0.11170408129692078,-0.12231919169425964,0.479815274477005
27000,24,-70,117.44908805235477,39.257443685451825,21.126087188720703,4.797085762023926,0.18564465641975403,-0.5471378564834595,0.08099174499511719,-0.12569358944892883,0.4919275641441345
27099,24,-70,117.44908805235477,39.257443685451825,21.126087188720703,4.797085762023926,0.18564465641975403,-0.5471378564834595,0.08099174499511719,-0.12569358944892883,0.4919275641441345
27099,23,-70,117.44908805235477,39.257443685451825,21.126087188720703,4.797085762023926,0.18564465641975403,-0.5471378564834595,0.08099174499511719,-0.12569358944892883,0.4919275641441345
27200,23,-70,117.44908872151156,39.257451997738634,21.20941734313965,4.680552005767822,0.5158506631851196,-0.5310574769973755,0.09232847392559052,-0.125652477145195,0.5070326924324036
27400,23,-70,117.4490904824828,39.257460257085576,21.31031608581543,4.553102970123291,0.9288901686668396,-0.5740936398506165,0.12297878414392471,-0.12075794488191605,0.5266686677932739
27600,23,-70,117.44909314971163,39.257468257466634,21.420230865478516,4.417189598083496,1.3306610584259033,-0.6145327091217041,0.11086523532867432,-0.12691834568977356,0.541196346282959
27801,23,-70,117.44909652896557,39.257476075890544,21.535263061523438,4.29387092590332,1.6823278665542603,-0.6939241886138916,0.117392897605896,-0.12422895431518555,0.5550655126571655
27986,23,-70,117.44909652896557,39.257476075890544,21.535263061523438,4.29387092590332,1.6823278665542603,-0.6939241886138916,0.117392897605896,-0.12422895431518555,0.5550655126571655
28000,23,-70,117.44910044823965,39.25748358200125,21.668498992919922,4.176279067993164,2.0268757343292236,-0.7925648093223572,0.13351233303546906,-0.14207153022289276,0.5702741146087646
